SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_magnitude
5901369108626781440,222.89376669902268,-50.11650029832678,1.1435523887320276,-4.990035053429987,-1.6346425420868287,19.120268,2.2084236,28.828987540966715
5901369108626782848,222.88118565233896,-50.11410067278262,0.6417336513698841,-4.278061466522414,-4.738593521664264,18.206089,1.4620037,29.169314952187598
5901369108626783616,222.88197893748773,-50.11079817763555,0.06044344476186232,-4.296612843998507,-3.8042285782034293,19.055176,1.3687115,35.14842974394446
5901369108628635648,222.88644086532122,-50.11860333461219,0.3984355178933874,-0.7952049940520937,1.4863325903678004,17.22493,1.2155838,29.223139579768358
5901369108628638848,222.87889608436262,-50.10814007595605,0.7976783100104872,-2.853040688382383,3.6008972690336076,16.914986,1.2258987,27.40584674105294
5901369108629649408,222.87862595709814,-50.108963785204025,0.8112634511898241,-3.0766860821099575,3.8262559986872215,18.235764,1.8771591,28.68995399626897
5901369112936055936,222.8818011827742,-50.123297372377706,0.673707411615707,-7.492208977586933,1.5970445468456624,19.781794,1.5845013,30.63943696858035
5901369112936056576,222.880487222495,-50.122031252817884,0.1909569402514753,-4.555555668559483,-2.3183233214167127,19.566187,,33.161509668654475
5817967750051560320,251.99792324958773,-63.0591182612816,0.062294525031693145,-2.8262521697422485,-9.688944798650068,18.634607,0.80919075,34.662357920692955
5817967754341238912,252.00225550334164,-63.06777273236189,0.372629925793227,-1.355302185520618,-3.030719886956038,19.747906,1.4377823,31.891517081124498
5817967754341243776,252.00639824648368,-63.064382519404994,0.822310227340265,2.850332211571186,-5.337827835617896,20.074419,1.9663162,30.49924056283271
5817967754341250688,251.99814533521365,-63.061177042187836,0.18562883682483222,-3.7782761055982363,-3.37789549997242,18.623281,0.9947777,32.280054262218314
5817967754341254272,252.00798497557227,-63.05886641204532,0.921935552017613,-7.498281891002356,-0.9493965483688481,19.98408,1.4321575,30.16057654734994
5817967754341254784,252.0070120205295,-63.05850763336626,0.9289183398722154,-5.579493763103427,-5.345845351042213,19.978666,1.4986515,30.1387786187905
5817967754341256832,251.99030180500765,-63.05939777317996,1.2796159093830657,-3.2563387575431406,-4.8794562975429265,20.229275,1.328701,29.693876594749575
5817967754341258368,251.97767564960208,-63.0604245137444,0.4831084286493817,-0.5498045668564966,-4.078882043308128,19.3582,0.98041534,30.937977000444405
5817967754341259008,251.99428862128764,-63.057937143835524,0.17222545201916756,-6.623649839971877,-8.976328096231173,20.123207,1.7846241,33.942720425957596
5817967754341684480,251.98917267141496,-63.052060018363335,2.0689004035564365,-3.92877736210143,-2.5144256802992464,20.514597,1.0083523,28.93589901748121
5817967754341687296,251.9841726565919,-63.057129321249406,0.9634219526288132,-2.971126316159002,-2.883688109931559,20.497654,1.4580479,30.57857127133868
5817967754341694208,252.0133312787945,-63.06072206955536,0.21291977188687475,-5.485375547828799,-7.849533581949281,20.698067,1.7927456,34.0569867503435
5817707067007688832,254.34731899992673,-63.597751860843154,0.7922792682493176,-4.188235225605134,-4.5455834200315035,19.992453,0.9434624,30.498061162492945
5817707067008605696,254.34447677235718,-63.602319300267936,0.46574163844061744,-3.870704718924135,1.0184654221276208,20.388716,1.586052,32.04799041073644
5817707067008607360,254.3418319997154,-63.597776352013625,0.544471998962403,-5.038285453354229,-7.591282740211512,20.214209,1.5582256,31.53433085378524
5817707067009286528,254.34591902399478,-63.603724384558554,0.5437641024192054,-2.5953899369962565,-4.266762619655621,20.275808,0.61429787,31.59875566708037
5817707067009288064,254.3514092141771,-63.60497071892922,2.9249666651600945,-4.965194431323129,-4.1047050550221105,20.776083,1.4491062,28.44547838784651
5817707067009289216,254.35910741548386,-63.60539532006489,0.1982140070946105,-2.873770884980972,-0.5009965246454816,20.49295,1.2313194,34.0072787328806
