HIP,MAGNITUDE,RA_DEGREES,DEC_DEGREES,PARALLAX_MAS,RA_MAS_PER_YEAR,DEC_MAS_PER_YEAR,DISTANCE_PARSECS,ABS_MAG,COLOR_K_R,COLOR_K_G,COLOR_K_B,Dx,Dy,Dz,GLON,GLAT,RA_HOURS,EPOCH_YEAR,stereo_X,stereo_Y
1803.0,6.39,5.708506259643457,-12.206295824563458,4.9e-05,394.27,60.45,20.8638,4.793,1.0,0.8280000000000001,0.726,-0.750795121487288,5.828584195777331,-20.0190425195184,97.34,-73.64,0.3810555555333333,2000.0,3.0,1.2525441794,0.0708232873
1830.0,6.55,5.801047383486548,-31.0372009130904,0.0,22.06,2.68,172.7116,0.363,0.34900000000000003,0.493,1.0,21.941413694833532,-0.4251275892860366,-171.31167621083216,358.89,-82.7,0.38683333333333336,2000.0,0.0,1.5772581826,0.4570928736
1901.0,10.71,6.00382103063896,38.57933544218698,0.0,-16.33,-35.0,386.1004,2.776,1.0,0.585,0.299,-160.5404277392481,314.1289799128303,-156.91804842140976,117.07,-23.98,0.4005555555333334,2000.0,5.0,0.5339998872,-0.2935548829
1921.0,5.58,6.059470176540799,52.01696557794289,4e-06,13.7,-4.4,306.7485,-1.854,0.386,0.526,1.0,-144.68755480506513,264.496369296813,-56.584665463225946,118.68,-10.63,0.4043333333333334,2000.0,0.0,0.3834291085,-0.3219243188
1960.0,5.38,6.193489560772207,61.828893621420775,1.4999999999999999e-05,13.67,-2.45,215.0538,-1.283,0.34900000000000003,0.493,1.0,-106.83096478810783,186.612896062143,-3.3028593948092104,119.79,-0.88,0.4131944444666667,2000.0,0.0,0.2797240075,-0.3330110003
1939.0,6.08,6.1239963344971216,-2.2206850855647944,0.0,-34.51,-42.42,151.7451,0.17400000000000002,1.0,0.64,0.378,-19.557296284195715,62.90724166818254,-136.6995482134563,107.27,-64.27,0.40825,2000.0,5.0,1.0842721646,-0.0484024573
1982.0,5.72,6.270700251793329,53.046241904754304,0.0,25.8,0.30000000000000004,158.2278,-0.276,0.34900000000000003,0.493,1.0,-75.44105627216402,136.5485597987224,-26.441908748706304,118.92,-9.62,0.4184444444666667,2000.0,0.0,0.3721480559,-0.3221267626
2006.0,5.77,6.350570947218159,1.9426007831442753,0.0,-14.33,-12.89,144.0922,-0.023,1.0,0.881,0.848,-24.13049564538469,67.28283460403794,-125.11315457774111,109.73,-60.26,0.42338888886666665,2000.0,3.0,1.0177697155,-0.0867011075
2021.0,2.8200000000000003,6.299291928535155,-77.26249234548908,0.000153,2220.12,324.37,7.4588,3.457,0.8270000000000001,0.839,1.0,3.2727066357419337,-4.707054510991733,-4.771449103461452,304.81,-39.77,0.42919444446666666,2000.0,2.0,1.0519003249,2.7322620837
2081.0,2.4,6.564746074092142,-42.30265196186241,3.5e-05,232.76,-353.64,25.974,0.327,1.0,0.599,0.318,5.492706242233505,-4.6056614627458305,-24.96531066554364,320.02,-73.98,0.43805555553333336,2000.0,5.0,1.7257921366,0.8380411198
2072.0,3.93,6.548342076345136,-43.68112559128918,7.2e-05,106.14,32.83,23.8095,2.046,0.677,0.744,1.0,5.3022459566381865,-4.704245496477169,-22.729904363507302,318.42,-72.68,0.4367222222,2000.0,1.0,1.7424268315,0.8927869966
2100.0,6.16,6.654527552301374,-0.0473635155290803,0.0,69.63,1.49,138.3126,0.456,1.0,0.863,0.804,-21.483016200474456,60.66616627009055,-122.42741361222934,109.5,-62.27,0.4437222222,2000.0,3.0,1.0450831859,-0.0627044638
2159.0,5.99,6.8066737684269185,-25.545506917983865,0.0,32.93,-15.26,176.0563,-0.23800000000000002,1.0,0.89,0.869,11.633954169617432,12.848478314705375,-175.20099453218234,47.84,-84.35,0.45408333333333334,2000.0,3.0,1.4618042746,0.334809432
